"ACRONIMO";"Columna1";"Observaciones";
"OCMC";"Oficial de Control de Material Clasificado";;
"OCNE";"Oficina de Contrainteligencia Naval del Este";;
"OCOA";"Organismo Coordinador de Operaciones Antisubversivas";;
"OCOAM";"Oficina de Coordinación de Asuntos Marítimos";;
"OCOAM";"Oficina de Coordinación de Operaciones Aéreas Militares";;
"OCOAM";"Oficina de Coordinación de Asuntos Marítimos";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"OCOP";"Oficina de Control de Objetos Prohibidos OCOA, origen INFAG N.º 52/83";;
"OCOVI";"Oficina de Construcción de Viviendas de Servicios";;
"OCPLA";"Jefe de la Oficina Coordinadora del Proyecto de Relevamiento de las aguas someras y la Plataforma Continental.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"OCPO";"Organización Comunista Poder Obrero";;
"OCRIN";;;
"ODC";"Jefe de la Sección Naval de la Oficina de Cooperación de Defensa de EE.UU.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"OE";"Oficial Ejecutivo";;
"OEA";"Organización de Estados Americanos";;
"Of Sub Ayte PE";"Oficial Sub Ayudante P...... Especializado";"Diligenciado 4424 escibir ruta";
"OFA";;;
"OFAIN";;;
"OFEAN";;;
"OFEAN";"Oficina de Enlace con los Agregados Navales";;
"OFEAN";"Jefe de la Oficina de Enlace con los Agregados Navales";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"OFINA";;;
"OFIPI";"Oficina de Pilotaje";;
"OFIPI";;;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"OIT";"Organización Internacional del Trabajo";;
"OMCM";"Oficial de Control de Material Clasificado";;
"OP";"OPerativo";;
"OPESP";;;
"OPFFCC";"Oficina de Prensa de las Fuerzas Conjuntas";;
"OPJA";"Organización Pioneros José Artigas";;
"OPM";"Organización Político Militar";;
"OPM";"Oficina de Policía Militar";;"Dossier 12230"
"OPREN";;;
"OR";"Orden de Reunión";"PAMPIN VESGA, Mario Raul. Operativo realizado en Argentina. Carp. Pers N° 214";
"OR.SERVICIO COMAR";;;
"ORDOP";"ORDen de OPeraciones";;
"ORI";"Otros Requerimientos de Inteligencia";;
"ORT";"Operador de Radioteléfono";;
"OSCAR";"Oficial de Guardia del Comando General de la Armada.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"OSA";;;"Ficha PCR 192-6/02/2001;IFRAN ETCHAMENDY Luis Ciriaco"
"OSE";"Obras Sanitarias del Estado";;
"OSINT";"INTELIGENCIA DE FUENTES ABIERTAS";"Denominación Internacional";
"OSM";"Oficina de Seguridad Militar";;
"OTAN";;;
"PA";"Posiciones de Asalto";;
"PAF";"Posición de Ataque por Fuego";;
"PART NOV";"PARTe de NOVedades";;
"PAT";"Partido Agrario del Trabajo";;"Dossier 2211"
"PC";"Partido Comunista";;
"PC";"Puesto de Comando";;
"PCE";"Parque Central del ejército (Infantería 13)";;"QUINTANA PILLIATTI Amelio DND (AGREGAR Nro sobre)"
"PCE";"Parque Central del Ejército (infant 13)";;"ficha FUSNA de CASANOVA FRONDOY Roberto"
"PCR";"Partido Comunista Revolucionario";;
"PCT";"Procedimientos de Conducción de Tropas";;
"PCU";"Partido Comunista del Uruguay";;
"PD";"Punto Decisivo";;
"PDC";"Partido Demócrtata Cristiano";;"Dossier 2207"
"PDHH";;;
"PDS";"Partido por el Departamento del Solis";;"Dossier 2212"
"PEAD";"Primera Eela Argentina de Detectives";;
"PEI ó Par. Esp. Inf";"Parte(ó Pedido) Especial de Información";;
"PF";"Partido Federal";;"Dossier 2205"
"PF-1";;;
"PGM";"Prefectura General Marítima";;
"PHOTINT";"Inteligencia fotografica";"Denominación Internacional";
"PI";"Pedido de Informe";;
"PIT";"Plenario Intersindical de Trabajadores";;
"PJDO";"Partido Juventud por el Desarrollo Oriental";;"Dossier 2213"
"PJP";"Partido de Jubilados y Pensionistas";;"Dossier 2209"
"PL";"Partido Liberal";;"Dossier 2206"
"PMI";"Persona Muy Importante";;
"PMJ";"Partido Movimiento Justiciero";;"Dossier 2210"
"PN";"Partido Nacional";;"Dossier 2202"
"PON";"Procedimientos Operativos Normales";;
"POR";"Partido Obrero Revolucionario";;
"PPI";"Parte Periódico de Información";;
"PPM";"Prefectura Puerto Montevideo";;
"PPO";"Planificación Previa a la Operación";;
"PR-10";;;
"PR-11";;;
"PR-12";;;
"PRB";"Punto de Referencia de Blancos";;
"PRCT";"Pelotón de Réplica ContraTerrorista";;
"PRECA";"PREfectura del puerto de Canelones";;
"PRECO";"Prefecto del Puerto de Colonia";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"PREDA";;;"C/S® Nro 15/982dossier Nro 6877 Operación Lagarto año 82"
"PREFA";"Prefecto del Puerto de Fray Bentos";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"PRELA";"PREfectura del puerto de LA paloma";;
"PRELA";"Prefectura del Puerto de La Paloma";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"PREMA";"PREfectura del puerto de Maldonado";;
"PREME";"PREfectura del puerto de Mercedes";;
"PREMO";"PREfectura del puerto de MOntevideo";;
"PRENA";"PREfectura nacional NAval";;
"PRENU";"PREfectura de NUeva palmira";;
"PRENU";"Prefectura del Puerto de Nueva Palmira";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"PREPA";"Prefectura del Puerto de Paysandú";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2007"
"PRERE";"Presidente de la República.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2008"
"PRERI";"PREfectura de RIo branco";;
"PRERI";"Prefectura del Puerto de Río Branco";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"PRESA";"PREfectura del puerto de S Alto";;
"PRESU";"PREfecturas y SUbprefecturas";;
"PREVI";"PREfectura del puerto de truVIL";;
"Prio";"Prontuario";"PNN/CASOS JUDICIALIZADOS/Caso Sin Nro-2 1976-1978/Carpeta Div Intel Dpto Tec Nro68A/CNNCasoSn2-013fs01r-1334.jpg";
"PRO";"Punto de Reunión en el Objetivo";;
"PROBA";"Proyecto de Desarrollo de la Base Naval del Cerro";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"PRT";"Partido Revolucionario de los Trabajadores";;
"PS";"Personal Superior";;
"PS";"Partido Socialista";;"Dossier 2203"
"PSR";"Partido Socialista Revolucionario";;
"PST";"Partido Socialista de los Trabajadores";;
"PUMA 3";"Equipo Guardia Metropolitana";;
"PVP";"Partido por la Victoria del Pueblo";;
"R/N";"Reserva Naval";;
"RADINT";"INTeligencia de RADar";"Denominación Internacional";
"RAT";"Recuperación Artefactos Terroristas (SMA)";;
"RECUR";"Dirección de Recursos Humanos de la Armada";;
"REIN";"Resumen Especial de Información";;"DOA  20894"
"REINA";"Red de Informática de la Armada";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"REPAR";"Dpto. De Relaciones Públicas de la Armada.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"REQ";"REQuerido";;
"RES INF ó RESINF; REIN";"RESumen de INFormación";;
"RESNA";"REServa NAval";;
"RESUR";"Regional Sur de Búsqueda y Rescate en el Mar";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"RINT";"INTELIGENCIA DE RADIACIONES NO INTENCIONALES";"Denominación Internacional";
"RN";"Reserva Naval";;
"ROU01";"Comandante del ROU ""URUGUAY""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU02";"Comandante del ROU ""GENERAL ARTIGAS""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU03";"Comandante del ROU ""MONTEVIDEO""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU05";"Comandante del ROU ""15 de NOVIEMBRE""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU06";"Comandante del ROU ""25 de AGOSTO""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU07";"Comandante del ROU ""COMODORO COE""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU10";"Comandante del ROU ""COLONIA""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU11";"Comandante del ROU ""RIO NEGRO""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU12";"Comandante del ROU ""PAYSANDÚ""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU20";"Comandante del ROU ""CAPITAN MIRANDA""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU21";"Comandante del ROU ""SIRIUS""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU22";"Comandante del ROU ""OYARVIDE""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU23";"Comandante del ROU ""MALDONADO""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU26";"Comandante del ROU ""VANGUARDIA""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU27";"Comandante del ROU ""BANCO ORTIZ""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU31";"Comandante del ROU ""TEMERARIO""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU33";"Comandante del ROU ""FORTUNA""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU34";"Comandante del ROU ""AUDAZ""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU441";"Encargado de la Lancha ROU441";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU442";"Encargado de la Lancha ROU442";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU443";"Encargado de la Lancha ROU443";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU444";"Encargado de la Lancha ROU444";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU445";"Encargado de la Lancha ROU445";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU446";"Encargado de la Lancha ROU446";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU447";"Encargado de la Lancha ROU447";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU448";"Encargado de la Lancha ROU448";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU449";"Encargado de la Lancha ROU449";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU70";"Encargado de la Lancha ROU70";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU71";"Encargado de la Lancha ROU71";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU72";"Encargado de la Lancha ROU72";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROU73";"Encargado del Remolcador ""GRITO DE ASENCIO""";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ROYF";"Reglamento de Organización Y Funcionamiento";;
"S/0";"Sub/Oficial";;
"S/A";"Sin/Antecedentes";;
"s/n°";"sin número";;
"S&TI";"INTELIGENCIA TÉCNICA Y CIENTÍFICA";"Denominación Internacional";
"sa";"sin año";;
"SANAV";"Dirección de Sanidad Naval";;
"SAR";;;
"SCAGRUBU";"Sub Centro Asistencial GRUBU.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SCAPRECO";"Sub Centro Asistencial Colonia.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SCAPRERI";"Sub Centro Asistencial Rio Branco.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SCAPREVI";"Sub Centro Asistencial Trouville.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SCASOHMA";"Sub Centro Asistencial del Servicio Oceanográfico, Hidrográfico y Meteorológico de la Armada.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SCASUBCA";"Sub Centro Asistencial Carmelo.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SCASUCHU";"Sub Centro Asistencial Chuy.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SCASULAC";"Sub Centro Asistencial Juan Lacaze.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SCASUVAZ";"Sub Centro Asistencial Santiago Vazquez.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SCRA";"Servicio Construcción Reparaciones y Armamento de la armada";;
"sd";"sin día";;
"SEARM";"SErvicio de ARMamento de la armada";;
"SEBAX";"SErvicio de Buques AuXiliares de la armada";;
"SECAR";"Secretario del Comandante en Jefe de la Armada.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SECON";"SErvicio de hacienda y CONtabilidad de la armada nacional";;
"SECON";"Servicio de Hacienda y Contabilidad de la Armada";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SEFIC";"SEcretaría FInanciero Contable";;
"SEFIC";"Secretaría Financiero Contable de la Prefectura Nacional Naval.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SEG PORT";"SEGuridad PORTuaria";;
"SEGCOM";"SEGuridad en las COMunicaciones";;
"SEGIT";"SErvicio de Gestión Informática y Telecomunicaciones de la armada";;
"SEINT";"SEcretaría de INTeligencia naval";;
"SEINT-N2-DINTE";"SEcretaría de INTeligencia N2- DIrección de INTEligencia";;
"SELAR";"Servicio de ELectrónica de la Armada";;
"SEMER";"Secretario Dirección Registral y de Marina Mercante";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SEMGA";"Secretaria del Estado Mayor General de la Armada";;
"SEMGA";"Secretaria del Jefe del Estado Mayor General de la Armada.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SEPLACODI";"SEcretaría de PLAneamiento COordinación Y DIfusión de presidencia";;
"SEPMA";"SEcretaría de Protección MArítima";;
"SEPRE";"SEcretaría de la PREfectura nacional naval";;
"SERAP";"Servicio de Aprovisionamiento de la Armada.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SERBA";"SERvicio de iluminación y Balizamiento de la Armada";;
"SERCO";;;
"SERCO";"Servicio de Construcciones, Reparaciones y Armamentos de la Armada.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SERDA";"SERvicio De Armamento";;
"SERID";;;
"SERIN";"SERvicio de Instalaciones Navales";;
"SERPA";;;
"SERPAJ";"SERvicio de PAz y Justicia";;
"SERRE";"SERvicio de REtiro";;
"SERSA";"SERvicio de Sanidad de la Armada";;
"SERV";"SEguridad Venezolano";;
"SERYO";;;
"SETRA";"Servicio de Transporte de la Armada.  ";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"sf";"sin fecha";;
"SHOMA";"Servicio de Oceanografía, Hidrografía y Meteorología de la Armada";;
"SID";"Servicio de Informacion de Defensa";;
"SIE";"Servicio de Inteligencia del Ejército";;
"SIFA";"Servicio de Información sobre las Fuerzas Armadas";;
"SIGINT";"INTELIGENCIA DE SEÑALES";"Denominación Internacional";
"SIGINT";"Información de Tramitaciones";;
"SIJAU";"Secretaría ó (Secretariado) Internacional de Juristas por la Amnistía en Uruguay";;
"SIM";"Servicio de Información Militar";;
"SIN";"Servicio de Información Naval (Argentina)";;
"SIP";"Sistema de Informacion Policial";;
"SIPNA";"Servicio  de Información de la Prefectura Naval Argentina";;
"sl";"sin lugar";;
"SLJ";"Semanario La Juventud";;"BAF 026 N.º 946- BIDEGAIN MENDIHARAT Jean Paul; BAF 026 N.º -GONZALES METHOL SLJ N.º 106 PAG16 2/11/85"
"sm";"sin mes";;
"SNI";"Servicio Nacional de Informaciones (Brasil)";;
"SOHMA";"Servicio de Oceanografía, Hidrografía y Meteorología de la Armada";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SOL DATOS";;;
"SOLANT";"SOLicitud de ANTecedentes";;
"SOLIN";"SOLicitud de INformación";;
"SOM";"Sub Oficial Mayor";;
"SOYP";"Servicio de Oceanografía Y Pesca";;
"SPFU";"Sub-oficial de 1ra Fusileros";;
"SRMN";;;
"SSE";"Servicio Sanitario Ejercito";;
"SSFU";"Sub-oficial de 2da Fusileros";;
"SSOO";"SubOficiales";;
"SSP";"Servicio de Seguridad Portuaria";;
"STC";"Siga Trámite Común";;
"STM";"Supremo Tribunal Militar.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SUANP";"Sindicato Unico de la Administracion Nacional de Puertos";;
"SUNCA";"Sindicato Unico Nacional de la Construcción y Anexos";;
"SUBAR";"Sub Prefecto de Artigas.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SUBCA";"SUBprefectura del puerto de C Armelo";;
"SUBCA";"Sub Prefectura de Carmelo.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SUBCI";"SUBprefectura de jose ignaCIo";;
"SUBEL";"SUBprefectura de BELla unión";;
"SUBLY";"Subprefectura del Puerto de Solymar";;
"SUCHA";"SUbprefectura de la CHArqueada";;
"SUCHU";"SUbprefectura de CHUy";;
"SUCOS";"SUbprefectura de ciudad de la COSta";;
"SUDIPER";"Sub Dirección General de Personal Naval";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SUDOL";"SUbprefectura de DOLores";;
"SUDORA";" Sindicato Único de Obreros Rurales y Agroindustriales";;
"SUFLO";"SUbprefectura de la FLOresta";;
"SULAC";"SUbprefectura de juan LACaze";;
"SUMER";"Sub Prefecto de Mercedes.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"SUMI";"SUMario de Inteligencia o de Información";;
"SUNCA";"Sindicato Unico Nacional de la Construcción y Anexos";;
"SUNTMA";"Sindicato Unico de Trabajadores del Mar y Afines";;
"SUPIR";"SUbprefectura de PIRiapólis";;
"SUVAZ";"SUbprefectura de santiago VAZquez";;
"SUVIL";"SUbprefectura de trouVIL";;
"SVP";"Servicio Veterinario de Remonta";;
"TECHINT";"Informa técnica";;
"TFP";"Tradición Familia y Propiedad";;
"TI";"Trámite Interno (SID)";;
"TRABU";"Trámites de Buques Históricos Hundidos";;
"TRABU";"Oficina de Buques Históricos Hundidos.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"TRIAM";"Tribunal de Accidentes Marítimos";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"TRIAS";"Tribunal Superior de Ascensos y Recursos.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"TRIHON1";"Tribunal Especial de Honor.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"TRIHON2";"Tribunal General de Honor.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"TRIHON3";"Tribunal de Honor para Oficiales Subalternos.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"TROPICO 332";"Equipo de Batallón d eIngenieros Mecánicos 13";;
"TSAR";;;
"TSARE";"Tribunal Superior de Ascensos y Recursos del Ejército";;
"UC";"Union Civica";;
"UJC";"Unión de Juventudes Comunistas";;
"UNAP";"UNidad de APOyo de la prefectura nacional naval";;
"UNAPO";"UNidad de APOyo de la prefectura nacional naval";;
"UNCOVI";"Unión Nacional de COoperativa de VIvienda";;
"UNIDADES FLOTANTES";;;
"UP";"Union Popular";;"Dossier 2204"
"UPF.1";"Comandante de la Unidad de Patrulla Fluvial 1 en la R. D. Del CONGO";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"UPF.2";"Comandante de la Unidad de Patrulla Fluvial 2 en la R. D. Del CONGO";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"UPF.3";"Comandante de la Unidad de Patrulla Fluvial 3 en la R. D. Del CONGO";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"UPF.4";"Comandante de la Unidad de Patrulla Fluvial 4 en la R. D. Del CONGO";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"URC";"Union Radical Cristiana";;"Dossier 2208"
"URPAC";;;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"URPAC";"Cte. De la Compañía de Patrulla Fluvial uruguaya en CONGO,  Mbandaka.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"URPAC KILOCte.";" De la Compañía de Patrulla Fluvial uruguaya en CONGO,  Kisangani.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"URUCAM";"Asesor Uruguayo del Coordinador del Área Marítima del Atlántico Sur.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"URUPAC";;;
"URSS";"Unión de Repúblicas Socialistas Soviéticas";;
"USACBL";"Unidad de Servicio del Aerodromo Capitan Boizo Lanza";;
"UTE";"Usinas Termoeléctricas del Estado";;
"UU/FF";;;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"VIP";"Very Important Person";;
"VoBo";"VistoBueno";;
"YCU";"Yatch Club Uruguay";;
"ZAF";"Zona de Ataques por Fuego";;
