"ACRONIMO";"Columna1";"Observaciones";
"C/S® Nro 15/982dossier Nro 6877 Operación Lagarto año 82";"Jefe de la Oficina de Tasas a la Navegación Marítima.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"C/T ó CT";"Carpeta Técnica";;
"CAA";"Comando Apoyo Adminitrativo";;
"CAA";"Cuerpo de Aprovisionamiento y Administración";;
"CAANACE";"Centro Asistencial del Area Naval Cerro";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"CAANAMI";"Centro Asistencial del Área Naval Miramar";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"CAANAPU";"Centro Asistencial Área Naval Puerto";;
"CAANAPU";"Centro Asistencial del Área Naval Puerto.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"CAANPAL";"Centro Asistencial del Área Naval La Paloma.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2004"
"CABAEN2";"Centro Asistencial Base Aeronaval Nr.2.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2005"
"CABUC";"Centro de Adiestramiento del Grupo de Buceo.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"CACOMAR";"Centro Asistencial COMAR - PRENA.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2007"
"CACSON";"Cooperativa de Ahorro y Crédito del Centro de Suboficiales Navales";"Instituciones Sociales";
"CAFMO";"Centro Asistencial Familiar Montevideo";;
"CAFMO";"Centro Asistencial Familiar Montevideo.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"CAFPRELA";"Centro Asistencial Familiar Rocha.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2004"
"CAFPREMA";"Centro Asistencial Familiar Maldonado.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2005"
"CAFPRESA";"Centro Asistencial Familiar Salto.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"CAFR";"Centro Asistencial Familiar de Rocha";;
"CAFUM";"Centro de Adiestramiento de las FUerzas de Mar";;
"CAFUS";"Centro de Adiestramiento del Cuerpo de Fusileros Navales.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"CAFUSNA";"Centro Asistencial del Cuerpo de Fusileros Navales.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"CAI";"Con Antecedentes Ideológicos";;
"CAL";;"INFORME DE INVESTIGACIÓN N.º 01/3174 (punto 3 ALCANCE)";
"CALEN";"Director del Centro de Altos Estudios Nacionales.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"CALFUEMA";"Centro de Abastecimiento Logístico de las Fuerzas de Mar";;
"CAMAS";"Coordinador Areas Marítimas Atlántico Sur";"Agregado Naval Adjunto como Delegado Coordinador del Área Marítima del Atlántico Sur. Según decreto N° 475/990 del 16/10 /990";
"CAMAS";"Coordinador del Área Marítima del Atlántico Sur.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"CAMMAS";"Coordinador Areas Marítimas Atlántico Sur";;
"CAN";;"INFORME DE INVESTIGACIÓN N.º 01/3174 (punto 3 ALCANCE)";
"CAOFA";"Cooperativa de Ahorro de Oficiales de las FFAA";"Instituciones Sociales";
"CAPRE";;;
"CAPRECA";"Centro Asistencial Canelones.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"CAPREFA";"Centro Asistencial Fray Bentos.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2004"
"CAPREMA";"Centro Asistencial Maldonado.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2005"
"CAPREPA";"Centro Asistencial Paysandú.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"CAPRESA";"Centro Asistencial Salto.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2007"
"CAPTIGRE";"Centro Asistencial Punta Tigre.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"CAPU";"Cuerpo de Apoyo Puerto";;
"CARP";"Carpeta";;
"CASE";"Comisión Asesora de los Servicios de la Estiva";;
"CASUBEL";"Centro Asistencial Bella Unión.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"CASUPIR";"Centro Asistencial Piriápolis.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2004"
"CBI";"Curso Básico de Inteligencia";;
"CC/CC";"Centros de Comunicaciones";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"CCP";"Centro de comunicaciones Primario";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2004"
"CCR";;;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2005"
