rollo,id,filename
629,2133,r629_2133.1975
629,2146,r629_2146.1975
629,2153,r629_2153.1975
629,2171,r629_2171.1975
629,2194,r629_2194.1975
629,2196,r629_2196.1975
629,2197,r629_2197.1975
629,2200,r629_2200.1975
629,2201,r629_2201.1975
629,2211,r629_2211.1975
629,2216,r629_2216.1975
629,2228,r629_2228.1975
629,2241,r629_2241.1975
629,2256,r629_2256.1975
629,2275,r629_2275.1975
629,2279,r629_2279.1975
629,2288,r629_2288.1975
629,2293,r629_2293.1975
629,2309,r629_2309.1975
629,2317,r629_2317.1975
629,2324,r629_2324.1975
629,2331,r629_2331.1975
629,2333,r629_2333.1975
629,2343,r629_2343.1975
629,2348,r629_2348.1975
629,2351,r629_2351.1975
629,2359,r629_2359.1975
629,2367,r629_2367.1975
629,2368,r629_2368.1975
629,2369,r629_2369.1975
629,2377,r629_2377.1975
629,2378,r629_2378.1975
629,2391,r629_2391.1975
629,2407,r629_2407.1975
629,2414,r629_2414.1975
629,2419,r629_2419.1975
629,2431,r629_2431.1975
629,2447,r629_2447.1975
629,2452,r629_2452.1975
629,2462,r629_2462.1975
629,2466,r629_2466.1975
629,2470,r629_2470.1975
629,2478,r629_2478.1975
629,2483,r629_2483.1975
629,2486,r629_2486.1975
629,2493,r629_2493.1975
640,7,r640_0007.1975
640,8,r640_0008.1975
640,22,r640_0022.1975
640,28,r640_0028.1975
640,76,r640_0076.1975
640,77,r640_0077.1975
640,85,r640_0085.1975
640,88,r640_0088.1975
640,99,r640_0099.1975
640,101,r640_0101.1975
640,105,r640_0105.1975
640,113,r640_0113.1975
640,132,r640_0132.1975
640,142,r640_0142.1975
640,147,r640_0147.1975
640,149,r640_0149.1975
640,179,r640_0179.1975
640,194,r640_0194.1975
640,225,r640_0225.1975
640,235,r640_0235.1975
640,254,r640_0254.1975
640,260,r640_0260.1975
640,272,r640_0272.1975
640,286,r640_0286.1975
640,288,r640_0288.1975
640,295,r640_0295.1975
640,299,r640_0299.1975
640,300,r640_0300.1975
640,311,r640_0311.1975
640,312,r640_0312.1975
640,320,r640_0320.1975
640,370,r640_0370.1975
640,377,r640_0377.1975
640,384,r640_0384.1975
640,387,r640_0387.1975
640,410,r640_0410.1975
640,411,r640_0411.1975
640,417,r640_0417.1975
640,423,r640_0423.1975
640,425,r640_0425.1975
640,452,r640_0452.1975
640,454,r640_0454.1975
640,457,r640_0457.1975
640,471,r640_0471.1975
640,474,r640_0474.1975
640,475,r640_0475.1975
640,479,r640_0479.1975
640,485,r640_0485.1975
640,488,r640_0488.1975
640,492,r640_0492.1975
640,511,r640_0511.1975
640,523,r640_0523.1975
640,526,r640_0526.1975
640,536,r640_0536.1975
640,540,r640_0540.1975
640,548,r640_0548.1975
640,549,r640_0549.1975
640,565,r640_0565.1975
640,576,r640_0576.1975
640,604,r640_0604.1975
640,606,r640_0606.1975
640,625,r640_0625.1975
640,626,r640_0626.1975
640,635,r640_0635.1975
